the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,COST,indoor,type,category,description,image
POINT (-73.97727391968168 40.78587092106756),Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,"10,024",FALSE,TRUE,children,,"For more than 50 years, the Children’s Museum of Manhattan has been a trusted resource for families and caregivers, filling gaps in educational services for children in New York City and beyond. Through research-based programming at the Museum and throughout all five boroughs, we support the social, emotional, and cognitive growth of children during their most critical years of development.

Located on West 83rd Street in Manhattan’s Upper West Side, we design and present hands-on exhibits and activities that help children become lifelong learners. We are dedicated to being accessible to all families, including those in need, and we proudly partner with New York City agencies, Head Start facilities, shelters, and more to provide transformative learning experiences through exploration and play.",https://images.ctfassets.net/1aemqu6a6t65/5HCE4UCNNK1iRpSbrAMGDk/eb8571d38acd5f8806d0b8fccc82027d/Children-s-Museum-of-Manhattan-Manhattan-NYC-Photo-Jennifer-Weisbord-3.jpg?w=1200&h=800&q=75
POINT (-73.99883836090484 40.72074946881006),Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,"10,012",FALSE,TRUE,children,,"The Children's Museum of the Arts (“CMA”) was a children's museum located at 103 Charlton Street, Manhattan, New York, United States in the South Village district from 2011-2022. The museum maintained a collection of over 2,000 pieces of international children's art dating back to the 1930s from over 50 countries.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK3kzAXEJ7rJnI8_bAhuJY8w-kgVu1Pj1nTA&s
POINT (-73.93173408706043 40.86492363574811),Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,"10,040",FALSE,TRUE,art,European,"The Cloisters (also known as the Met Cloisters) is a museum in Fort Tryon Park, straddling the neighborhoods of Washington Heights and Inwood, in Upper Manhattan, New York City. The museum specializes in European medieval art and architecture, with a focus on the Romanesque and Gothic periods. Governed by the Metropolitan Museum of Art, it contains a large collection of medieval artworks shown in the architectural settings of French monasteries and abbeys. Its buildings are centered around four cloisters—the Cuxa, Saint-Guilhem, Bonnefont, and Trie-sur-Baïse—that were acquired by American sculptor and art dealer George Grey Barnard in France before 1913 and moved to New York. Barnard's collection was bought for the museum by financier and philanthropist John D. Rockefeller Jr. Other major sources of objects were the collections of J. P. Morgan and Joseph Brummer.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaXHm3URXpghObWsZOPA-Ab3AmNqp8FFZgWQ&s
POINT (-73.97985598415269 40.57526324252061),Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,"11,224",FALSE,TRUE,history,location,"Established in 1983, the Coney Island Museum is the only accredited institution singularly dedicated to preserving, protecting, and interpreting the rich history of the People’s Playground. It houses the world’s premier collection of Coney Island photographs, paintings, ephemera, amusement-related objects, architectural elements, and vintage signs on view to the public. In addition to the permanent collection, the Museum also hosts special exhibitions and lectures on Coney Island’s history and impact. The Museum’s archives are available as a critical resource to researching scholars, and its public displays support educators from local schools. 
",https://images.squarespace-cdn.com/content/v1/624e265c7aec572259a95c09/d2d6f415-7730-4c8c-984b-22c1cf739e11/4-26+CIUSA+Building+3+%C2%A92019+Norman+Blake+%5Ball+rights+reserved%5D.jpg
POINT (-73.95778161975461 40.78432573993682),"Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,"10,128",FALSE,TRUE,art,design,"Cooper Hewitt is the only museum in the United States devoted exclusively to historical and contemporary design, and is the steward of one of the most diverse and comprehensive design collections in existence—more than 215,000 design objects spanning 30 centuries. From ancient textiles and works on paper to icons of modern design and cutting-edge technologies, Cooper Hewitt’s collection serves as inspiration for creative work of all kinds and tells the story of design’s paramount importance in improving our world.

A 21st-century museum housed in New York City’s landmark Carnegie Mansion, Cooper Hewitt offers four floors of galleries dedicated to all disciplines of design, a permanent collection of more than 215,000 design objects fully digitized and available online, and a world-class design library. In addition to producing major special exhibitions, the museum continually refreshes the installation of objects from its collection of product design, decorative arts, works on paper, graphic design, textiles, wallcoverings, and digital materials. Interactive creative technologies invite visitors to freely explore the contents of the collection and experiment with the design process in collaboration with family, friends, and fellow visitors.",https://ids.si.edu/ids/deliveryService?id=https%3A//www.si.edu/sites/default/files/unit/chsdm2.jpg&max_w=800
POINT (-73.97304190142106 40.76210697296256),Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,"10,022",FALSE,TRUE,art,European,"The Dahesh Museum of Art is the only institution in the United States devoted to collecting, exhibiting, and interpreting works by Europe’s academically trained artists of the 19th and early 20th centuries. The Dahesh serves a diverse audience by placing these artists in the broader context of 19th-century visual culture, and by offering a fresh appraisal of the role academies played in reinvigorating the classical ideals of beauty, humanism, and skill.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzn59lRjZDyleMbVYVSBcsyQCdVrSbCEMBkQ&s
POINT (-74.00613537578622 40.747894926234274),Dia Art Foundation,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street,,New York,"10,011",FALSE,TRUE,art,American,"Dia Art Foundation is a nonprofit organization that initiates, supports, presents, and preserves art projects. It was established in 1974 by Philippa de Menil, the daughter of Houston arts patron Dominique de Menil and an heiress to the Schlumberger oil exploration fortune; art dealer Heiner Friedrich, Philippa's husband; and Helen Winkler, a Houston art historian. Dia provides support to projects ""whose nature or scale would preclude other funding sources.""

Dia holds a major collection of work by artists of the 1960s and 1970s, on view at Dia Beacon that opened in the Hudson Valley in 2003. Dia also presents exhibitions and programs at Dia Chelsea in New York City, located at 535, 541 and 545 West 22nd Street. Dia's permanent collection holdings include artworks by artists who came to prominence during the 1960s and 1970s, including Joseph Beuys, Dan Flavin, Donald Judd, Agnes Martin, and Andy Warhol.",https://www.artforum.com/wp-content/uploads/2022/07/featured00_large-38.jpg
POINT (-74.00290417204171 40.72245118852784),Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,"10,013",FALSE,TRUE,art,location,"The Drawing Center is New York’s museum for drawing, unique in its mission to explore the medium as primary, dynamic, and relevant to contemporary culture, the future of art, and creative thought. The Drawing Center advances this mission through exhibitions, publications, and educational programs that are both multidisciplinary and broadly historical, positioning drawing at the center of artistic advancement and cultural dialogue.

Expressing the universality of drawing, The Drawing Center presents extraordinary works on paper from a wide range of traditions. Exhibitions have featured drawings by tattoo artists, chefs, novelists, and prisoners alongside visual artists, as well as significant international collections of works on paper.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv-bp6sKIb5x29a9mK_Rr3gHu4NSw0PUiQlg&s
POINT (-73.92383914748758 40.86713092093551),Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,"10,034",FALSE,TRUE,living,house,"By the early 20th century, the farmhouse was in disrepair and the rural character of the surrounding neighborhood was quickly changing. The extension of the IRT subway line to northern Manhattan led to rapid development in the neighborhood and in 1915 the house was threatened with demolition. Many newspaper articles of the early 20th century commented on the rapid change in the neighborhood and the many losses of farms and old houses.

In response to the possible danger of losing the farmhouse, Mary Alice Dyckman Dean and Fannie Fredericka Dyckman Welch, daughters of Isaac Michael Dyckman (aka James Frederick Smith), the last Dyckman child to grow up in the house, bought the propertyin 1915 to ensure its preservation.",https://dyckmanfarmhouse.org/wp-content/uploads/2024/03/DFM-1-April-2021-1-scaled.jpg
POINT (-73.99272306225821 40.72495970416682),East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery,,New York,"10,012",FALSE,TRUE,history,location,"LESHP programs are organized and operated by community historians, educators and preservationists dedicated to promoting awareness and appreciation of the history, culture and community of the Lower East Side. Everyone involved with LESHP are native or veteran New Yorkers who are active community members who take great pride in their work and neighborhood.

LESHP’s mission is to document the Lower East Side’s great history comprehensively and accurately and utilize this information to raise awareness of the Lower East Side’s historic significance and influence in world history. The Project has been collecting important data since 2001, and countless students, journalists, preservationists, media outlets, educators and history junkies continue to utilize our information.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPv_O8ViGK_xYUuQ221zOZxjpG5yXagg_zeA&s
POINT (-73.95136760111666 40.793098920789426),El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,"10,029",FALSE,TRUE,culture,Latin American,"The mission of El Museo del Barrio is to present and preserve the art and culture of Puerto Ricans and all Latin Americans in the United States.
Through its extensive collections, diverse exhibitions and publications, bilingual public programs, educational activities, festivals, and special events, El Museo educates its diverse public about the rich arts and cultural history of the Caribbean and Latin America. By introducing young people to this cultural heritage, El Museo is creating the next generation of museum visitors while also meeting the growing national and international interest in Caribbean and Latin American art.

The Museum was founded in 1969 by artist and educator Raphael Montañez Ortiz and a coalition of Puerto Rican parents, educators, artists, and activists who observed that mainstream museums largely ignored Latino artists. From its inception, the Museum has been committed to celebrating and promoting Latino culture, becoming a pillar of El Barrio and a valuable resource for New York City. The Museum's diverse permanent collection of more than 8,500 objects spans over 800 years of Latin American, Caribbean, and Latino art, encompassing everything from Taíno drawings, paintings, sculptures, and installations to modern and contemporary art, as well as textiles, prints, photographs, documentaries, and videos.
",https://elmuseo.org/wp-content/uploads/2025/08/720x480-about.jpg
POINT (-74.01133926317924 40.703399275987856),Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,"10,004",FALSE,TRUE,living,house,"Established in 1907 after a landmark restoration that preserved the integrity of the original Fraunces Tavern building, today, the Museum is located in a five-building complex within a Historic District on the National Register of Historic Places that includes Fraunces Tavern. The Museum attracts tens of thousands of visitors including school children annually who can explore exhibitions focusing on America’s War for Independence and the preservation of early American history. The Museum’s 8,000-piece object collection consists of furnishings, communication documents, personal artifacts, and art. While a fraction of the collection is on display at any given time, a significant portion of the collection is available to view on the Museum’s website. 

Fraunces Tavern was a witness to history throughout the American Revolutionary era. First constructed in 1719, the building that would become Fraunces Tavern was built as an elegant residence by merchant Stephen Delancey. In 1762, Samuel Fraunces purchased the building and transformed it into a tavern that soon became the epicenter of Patriot activity in New York. The Tavern is the oldest building in Manhattan.
",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/7a/35/5a/facciata.jpg?w=1200&h=-1&s=1
POINT (-73.96708040539806 40.77105465350546),Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,"10,021",FALSE,TRUE,art,European," Internationally recognized as a premier museum and research center, the Frick is known for its distinguished Old Master paintings and outstanding examples of European sculpture and decorative arts.

The collection originated with Henry Clay Frick (1849–1919), who bequeathed his home, paintings, sculptures, and decorative arts to the public for their enjoyment. The institution’s holdings—which encompass masterworks from the Renaissance through the nineteenth century—have grown over the decades, more than doubling in size since the opening of the museum in 1935. A critical component of the institution is the Frick Art Research Library, founded in 1920 by Helen Clay Frick, daughter of the museum’s founder. Recognized as one of the world’s top art history research centers, it has served students, scholars, and members of the public free of charge for generations.",https://www.frick.org/sites/default/files/styles/responsive_900w/public/images/2025/06/2025-fifth-ave-frick-garden-angled-magnolias-C-web-2000.jpg.webp?itok=Twmkr5fd
POINT (-74.07387774290744 40.6151652240151),Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,"10,305",FALSE,TRUE,living,house,"The Garibaldi-Meucci Museum, formerly known as the Garibaldi Memorial, is a c. 1840 Gothic Revival cottage in the Rosebank section of Staten Island, New York. It was home to inventor and candle maker Antonio Meucci (1808–1889). The Italian revolutionary and political leader Giuseppe Garibaldi (1807–1882) lived there from 1851 to 1853. In 1884, Meucci attended a ceremony where a plaque commemorating Garibaldi's stay was placed on the building. The house was moved from its original nearby location in 1907 and placed within an open air colonnaded memorial pavilion, which was later removed. The memorial was dedicated in 1907 to mark Garibaldi's 100th birthday. Since then, the site has been the location of a number of protests and celebrations on the anniversary of Garibaldi's birth.

A memorial to Meucci was erected in the front yard in 1923. In 1956 the house was opened as the Garibaldi-Meucci Museum, helping to celebrate Italian-American heritage and culture, as well as the lives of Giuseppe Garibaldi and Antonio Meucci.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3WIQ0Ni84bAoKfB3NdNlSnHjMlaAwACwXyQ&s
POINT (-73.96174204015233 40.77916564085246),Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,"10,028",FALSE,TRUE,culture,German,"The Goethe-Institut, Germany’s cultural institute, operates worldwide, promoting knowledge of the German language abroad and fostering international cultural collaborations. Their program of public events offers an opportunity to engage with themes and questions relevant to contemporary German culture and society. They aim to strengthen intercultural dialogue and a global civil society. ",https://www.goethe.de/resources/files/jpg1182/goethe_exterior_klorimer3-formatkey-jpg-w320r.jpg
POINT (-73.9430684626868 40.77611345003038),Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,"10,128",FALSE,TRUE,living,house,"Gracie Mansion (also Archibald Gracie Mansion) is the official residence of the mayor of New York City. Built in 1799, it is located in Carl Schurz Park, at East End Avenue and 88th Street in the Yorkville neighborhood of Manhattan. The federal-style mansion overlooks Hell Gate in the East River and consists of the original two-story house and an annex built in 1966.

The facade is composed of clapboard panels with shutters. The original mansion's first floor includes parlors, a dining room, a kitchen, and a library; the annex also includes a ballroom and reception rooms. The second floor has been traditionally used as bedrooms, while the basements contain offices. The mansion's upkeep is partially overseen by the Gracie Mansion Conservancy, although the city government continues to own it. In addition to governmental business and special events, Gracie Mansion hosts public tours. Over the years, the house has been the subject of commentary, and it has also received accolades and has been depicted in numerous media works",https://images.datagraphs.io/w42st/w42st/4eBeVZFwIJxfTWZ3wsQqTg
POINT (-73.91397962918033 40.85874716978858),Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,,Bronx,"10,453",FALSE,FALSE,people,American,"The Hall of Fame for Great Americans is an outdoor sculpture gallery located on the grounds of Bronx Community College (BCC) in the Bronx, New York City. Designed by Stanford White and built in 1901 as part of the University Heights campus of New York University (NYU), it was the first hall of fame in the United States. The hall commemorates 102 prominent Americans, selected by a board of electors and grouped into one of fifteen categories. The physical structure consists of a loggia with colonnades measuring 630 feet (190 m) long. The colonnades contain niches with plaques and 96 bronze portrait busts, and the structure itself conceals a retaining wall for the Gould Memorial Library.",https://s3.amazonaws.com/files.commons.gc.cuny.edu/wp-content/blogs.dir/2700/files/2016/05/hall-fame-great-americans-66-1024x768.jpg
